INFO 2020-05-17 17:30:25,046 autoreload 10552 3464 Watching for file changes with StatReloader
DEBUG 2020-05-17 17:30:25,047 autoreload 10552 3464 Waiting for apps ready_event.
DEBUG 2020-05-17 17:30:25,097 autoreload 10552 3464 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2020-05-17 17:30:25,097 autoreload 10552 3464 Watching dir D:\STUDY\Python\Lab3_another_try\locale with glob **/*.mo.
DEBUG 2020-05-17 17:30:25,100 autoreload 10552 3464 Watching dir D:\STUDY\Python\Lab3_another_try\myfirst\myfirst\apps\articles\locale with glob **/*.mo.
DEBUG 2020-05-17 17:30:25,100 autoreload 10552 3464 Watching dir D:\Program Files\Python38\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
DEBUG 2020-05-17 17:30:25,101 autoreload 10552 3464 Watching dir D:\Program Files\Python38\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
DEBUG 2020-05-17 17:30:25,101 autoreload 10552 3464 Watching dir D:\Program Files\Python38\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
DEBUG 2020-05-17 17:30:25,101 autoreload 10552 3464 Watching dir D:\Program Files\Python38\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
DEBUG 2020-05-17 17:30:25,101 autoreload 10552 3464 Watching dir D:\Program Files\Python38\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
DEBUG 2020-05-17 17:30:25,101 autoreload 10552 3464 Watching dir D:\Program Files\Python38\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
DEBUG 2020-05-17 17:30:25,403 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\jinja2\_compat.py first seen with mtime 1589656185.052148
DEBUG 2020-05-17 17:30:25,403 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1587149388.2689838
DEBUG 2020-05-17 17:30:25,404 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1587149388.2899334
DEBUG 2020-05-17 17:30:25,405 autoreload 10552 3464 File D:\Program Files\Python38\Lib\_markupbase.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,405 autoreload 10552 3464 File D:\Program Files\Python38\Lib\quopri.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,405 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1587149388.228697
DEBUG 2020-05-17 17:30:25,406 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1587149391.4129584
DEBUG 2020-05-17 17:30:25,406 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\sqlparse\compat.py first seen with mtime 1587149391.388952
DEBUG 2020-05-17 17:30:25,406 autoreload 10552 3464 File D:\Program Files\Python38\Lib\email\message.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,406 autoreload 10552 3464 File D:\Program Files\Python38\Lib\importlib\util.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,406 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1587149384.6005025
DEBUG 2020-05-17 17:30:25,406 autoreload 10552 3464 File D:\Program Files\Python38\Lib\encodings\__init__.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,406 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\PIL\Image.py first seen with mtime 1588363422.7114024
DEBUG 2020-05-17 17:30:25,406 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\template\context.py first seen with mtime 1587149388.1408963
DEBUG 2020-05-17 17:30:25,406 autoreload 10552 3464 File D:\Program Files\Python38\Lib\lzma.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,406 autoreload 10552 3464 File D:\Program Files\Python38\Lib\asyncio\coroutines.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,406 autoreload 10552 3464 File D:\Program Files\Python38\Lib\inspect.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,408 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1587149382.5395436
DEBUG 2020-05-17 17:30:25,408 autoreload 10552 3464 File D:\Program Files\Python38\Lib\keyword.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,409 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1587149387.9892347
DEBUG 2020-05-17 17:30:25,409 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1587149382.5564957
DEBUG 2020-05-17 17:30:25,409 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1587149387.9922616
DEBUG 2020-05-17 17:30:25,409 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\utils\dates.py first seen with mtime 1587149388.2257047
DEBUG 2020-05-17 17:30:25,410 autoreload 10552 3464 File D:\Program Files\Python38\Lib\email\mime\__init__.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,410 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1587149391.4189446
DEBUG 2020-05-17 17:30:25,410 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1587149387.4943514
DEBUG 2020-05-17 17:30:25,411 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\PIL\_binary.py first seen with mtime 1588363422.8021612
DEBUG 2020-05-17 17:30:25,411 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1587149387.9449742
DEBUG 2020-05-17 17:30:25,411 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1587149383.872865
DEBUG 2020-05-17 17:30:25,411 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1587149387.542623
DEBUG 2020-05-17 17:30:25,411 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1587149387.6663077
DEBUG 2020-05-17 17:30:25,412 autoreload 10552 3464 File D:\Program Files\Python38\DLLs\_ctypes.pyd first seen with mtime 1576700814.0
DEBUG 2020-05-17 17:30:25,412 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1587149388.247645
DEBUG 2020-05-17 17:30:25,413 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\template\__init__.py first seen with mtime 1587149388.1379051
DEBUG 2020-05-17 17:30:25,413 autoreload 10552 3464 File D:\Program Files\Python38\Lib\asyncio\base_tasks.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,413 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\jinja2\nodes.py first seen with mtime 1589656185.088696
DEBUG 2020-05-17 17:30:25,414 autoreload 10552 3464 File D:\Program Files\Python38\Lib\pprint.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,414 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\jinja2\environment.py first seen with mtime 1589656185.0711808
DEBUG 2020-05-17 17:30:25,414 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\psycopg2\tz.py first seen with mtime 1588709108.228687
DEBUG 2020-05-17 17:30:25,415 autoreload 10552 3464 File D:\Program Files\Python38\Lib\mimetypes.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,415 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\jinja2\exceptions.py first seen with mtime 1589656185.0725138
DEBUG 2020-05-17 17:30:25,415 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1587149388.0172272
DEBUG 2020-05-17 17:30:25,416 autoreload 10552 3464 File D:\Program Files\Python38\Lib\html\entities.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,416 autoreload 10552 3464 File D:\Program Files\Python38\Lib\tempfile.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,416 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\template\smartif.py first seen with mtime 1587149388.1558564
DEBUG 2020-05-17 17:30:25,417 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1587149391.4159498
DEBUG 2020-05-17 17:30:25,417 autoreload 10552 3464 File D:\Program Files\Python38\Lib\concurrent\futures\thread.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,417 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1587149388.2749715
DEBUG 2020-05-17 17:30:25,418 autoreload 10552 3464 File D:\Program Files\Python38\DLLs\select.pyd first seen with mtime 1576700812.0
DEBUG 2020-05-17 17:30:25,419 autoreload 10552 3464 File D:\Program Files\Python38\Lib\json\__init__.py first seen with mtime 1576700802.0
DEBUG 2020-05-17 17:30:25,419 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\psycopg2\errors.py first seen with mtime 1588709108.216496
DEBUG 2020-05-17 17:30:25,420 autoreload 10552 3464 File D:\Program Files\Python38\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1587149387.5486083
