[0520/192347.827:ERROR:crash_report_database_win.cc(469)] failed to stat report
[0520/192347.827:ERROR:crash_report_database_win.cc(469)] failed to stat report
[0520/192347.828:ERROR:crash_report_database_win.cc(469)] failed to stat report
[0520/192347.828:ERROR:crash_report_database_win.cc(469)] failed to stat report
[0520/192347.828:ERROR:crash_report_database_win.cc(469)] failed to stat report
[0520/192347.828:ERROR:crash_report_database_win.cc(469)] failed to stat report
INFO 2020-05-20 20:54:18,135 autoreload 1084 3960 Watching for file changes with StatReloader
DEBUG 2020-05-20 20:54:18,136 autoreload 1084 3960 Waiting for apps ready_event.
DEBUG 2020-05-20 20:54:18,198 autoreload 1084 3960 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2020-05-20 20:54:18,199 autoreload 1084 3960 Watching dir D:\STUDY\Python\Lab3_another_try\myfirst\locale with glob **/*.mo.
DEBUG 2020-05-20 20:54:18,199 autoreload 1084 3960 Watching dir D:\STUDY\Python\Lab3_another_try\myfirst\myfirst\apps\articles\locale with glob **/*.mo.
DEBUG 2020-05-20 20:54:18,200 autoreload 1084 3960 Watching dir D:\Program Files\Python38\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
DEBUG 2020-05-20 20:54:18,200 autoreload 1084 3960 Watching dir D:\Program Files\Python38\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
DEBUG 2020-05-20 20:54:18,201 autoreload 1084 3960 Watching dir D:\Program Files\Python38\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
DEBUG 2020-05-20 20:54:18,201 autoreload 1084 3960 Watching dir D:\Program Files\Python38\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
DEBUG 2020-05-20 20:54:18,202 autoreload 1084 3960 Watching dir D:\Program Files\Python38\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
DEBUG 2020-05-20 20:54:18,202 autoreload 1084 3960 Watching dir D:\Program Files\Python38\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
DEBUG 2020-05-20 20:54:18,392 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\core\signals.py first seen with mtime 1587149387.4843762
DEBUG 2020-05-20 20:54:18,392 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1587149382.544493
DEBUG 2020-05-20 20:54:18,392 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\apps\registry.py first seen with mtime 1587149382.0249195
DEBUG 2020-05-20 20:54:18,392 autoreload 1084 3960 File D:\Program Files\Python38\Lib\multiprocessing\process.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,393 autoreload 1084 3960 File D:\Program Files\Python38\Lib\concurrent\__init__.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,393 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1587149388.2699852
DEBUG 2020-05-20 20:54:18,394 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\core\files\images.py first seen with mtime 1587149387.526667
DEBUG 2020-05-20 20:54:18,394 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\sqlparse\sql.py first seen with mtime 1587149391.3974965
DEBUG 2020-05-20 20:54:18,394 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\utils\inspect.py first seen with mtime 1587149388.2446537
DEBUG 2020-05-20 20:54:18,395 autoreload 1084 3960 File D:\Program Files\Python38\Lib\threading.py first seen with mtime 1576700804.0
DEBUG 2020-05-20 20:54:18,395 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1587149387.4913583
DEBUG 2020-05-20 20:54:18,395 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1587149388.1468801
DEBUG 2020-05-20 20:54:18,395 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1587149388.3018997
DEBUG 2020-05-20 20:54:18,396 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\db\models\options.py first seen with mtime 1587149387.9748924
DEBUG 2020-05-20 20:54:18,397 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\template\base.py first seen with mtime 1587149388.1398988
DEBUG 2020-05-20 20:54:18,397 autoreload 1084 3960 File D:\Program Files\Python38\Lib\email\message.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,397 autoreload 1084 3960 File D:\Program Files\Python38\Lib\abc.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,397 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1587149388.020219
DEBUG 2020-05-20 20:54:18,398 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\forms\renderers.py first seen with mtime 1587149388.035181
DEBUG 2020-05-20 20:54:18,398 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\utils\timezone.py first seen with mtime 1587149388.261608
DEBUG 2020-05-20 20:54:18,399 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1587149387.986277
DEBUG 2020-05-20 20:54:18,399 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\template\backends\jinja2.py first seen with mtime 1587149388.164833
DEBUG 2020-05-20 20:54:18,399 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1587149382.0298698
DEBUG 2020-05-20 20:54:18,399 autoreload 1084 3960 File D:\Program Files\Python38\Lib\distutils\version.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,399 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1587149388.0022986
DEBUG 2020-05-20 20:54:18,399 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\PIL\__init__.py first seen with mtime 1588363422.7981718
DEBUG 2020-05-20 20:54:18,400 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\core\signing.py first seen with mtime 1587149387.4853742
DEBUG 2020-05-20 20:54:18,400 autoreload 1084 3960 File D:\Program Files\Python38\Lib\_weakrefset.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,400 autoreload 1084 3960 File D:\STUDY\Python\Lab3_another_try\myfirst\myfirst\apps\articles\models.py first seen with mtime 1589650682.8360107
DEBUG 2020-05-20 20:54:18,401 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\shortcuts.py first seen with mtime 1587149382.0199347
DEBUG 2020-05-20 20:54:18,401 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\views\static.py first seen with mtime 1587149388.2829506
DEBUG 2020-05-20 20:54:18,402 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\template\backends\base.py first seen with mtime 1587149388.1608427
DEBUG 2020-05-20 20:54:18,402 autoreload 1084 3960 File D:\Program Files\Python38\Lib\ipaddress.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,402 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\sqlparse\compat.py first seen with mtime 1587149391.388952
DEBUG 2020-05-20 20:54:18,402 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1587149391.4179451
DEBUG 2020-05-20 20:54:18,403 autoreload 1084 3960 File D:\Program Files\Python38\Lib\email\_policybase.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,403 autoreload 1084 3960 File D:\Program Files\Python38\Lib\email\utils.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,404 autoreload 1084 3960 File D:\Program Files\Python38\DLLs\_socket.pyd first seen with mtime 1576700812.0
DEBUG 2020-05-20 20:54:18,404 autoreload 1084 3960 File D:\STUDY\Python\Lab3_another_try\myfirst\myfirst\apps\articles\forms.py first seen with mtime 1589653336.9906738
DEBUG 2020-05-20 20:54:18,404 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1587149391.4129584
DEBUG 2020-05-20 20:54:18,405 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\psycopg2\_psycopg.cp38-win32.pyd first seen with mtime 1588709108.2071557
DEBUG 2020-05-20 20:54:18,405 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1587149388.2516391
DEBUG 2020-05-20 20:54:18,405 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1587149388.220717
DEBUG 2020-05-20 20:54:18,405 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1587149387.4714115
DEBUG 2020-05-20 20:54:18,406 autoreload 1084 3960 File D:\Program Files\Python38\Lib\tokenize.py first seen with mtime 1576700804.0
DEBUG 2020-05-20 20:54:18,406 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\http\request.py first seen with mtime 1587149388.1199539
DEBUG 2020-05-20 20:54:18,406 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1587149387.668288
DEBUG 2020-05-20 20:54:18,406 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1587149387.955943
DEBUG 2020-05-20 20:54:18,407 autoreload 1084 3960 File D:\Program Files\Python38\Lib\email\contentmanager.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,407 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1587149387.9902349
DEBUG 2020-05-20 20:54:18,407 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1587149388.0172272
DEBUG 2020-05-20 20:54:18,407 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\core\validators.py first seen with mtime 1587149387.4863715
DEBUG 2020-05-20 20:54:18,407 autoreload 1084 3960 File D:\Program Files\Python38\Lib\email\mime\nonmultipart.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,408 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1587149388.2057648
DEBUG 2020-05-20 20:54:18,408 autoreload 1084 3960 File D:\Program Files\Python38\Lib\warnings.py first seen with mtime 1576700804.0
DEBUG 2020-05-20 20:54:18,408 autoreload 1084 3960 File D:\Program Files\Python38\Lib\email\mime\text.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,408 autoreload 1084 3960 File D:\Program Files\Python38\Lib\quopri.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,408 autoreload 1084 3960 File D:\Program Files\Python38\Lib\_bootlocale.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,409 autoreload 1084 3960 File D:\Program Files\Python38\Lib\urllib\__init__.py first seen with mtime 1576700804.0
DEBUG 2020-05-20 20:54:18,409 autoreload 1084 3960 File D:\Program Files\Python38\Lib\wsgiref\headers.py first seen with mtime 1576700804.0
DEBUG 2020-05-20 20:54:18,409 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1587149387.9942226
DEBUG 2020-05-20 20:54:18,409 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1587149391.4079726
DEBUG 2020-05-20 20:54:18,409 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1587149388.2556238
DEBUG 2020-05-20 20:54:18,410 autoreload 1084 3960 File D:\Program Files\Python38\Lib\_collections_abc.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,411 autoreload 1084 3960 File D:\Program Files\Python38\Lib\lzma.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,411 autoreload 1084 3960 File D:\Program Files\Python38\Lib\multiprocessing\reduction.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,411 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\utils\decorators.py first seen with mtime 1587149388.2296934
DEBUG 2020-05-20 20:54:18,412 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1587149382.5415356
DEBUG 2020-05-20 20:54:18,412 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1587149383.8878298
DEBUG 2020-05-20 20:54:18,412 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\templatetags\static.py first seen with mtime 1587149388.1828184
DEBUG 2020-05-20 20:54:18,412 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1587149387.6303897
DEBUG 2020-05-20 20:54:18,413 autoreload 1084 3960 File D:\Program Files\Python38\Lib\email\quoprimime.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,413 autoreload 1084 3960 File D:\Program Files\Python38\Lib\socket.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,413 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1587149388.2849448
DEBUG 2020-05-20 20:54:18,414 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\template\backends\django.py first seen with mtime 1587149388.161841
DEBUG 2020-05-20 20:54:18,414 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1587149386.0984263
DEBUG 2020-05-20 20:54:18,415 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1587149388.008251
DEBUG 2020-05-20 20:54:18,415 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1587149387.4654272
DEBUG 2020-05-20 20:54:18,415 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1587149388.0042615
DEBUG 2020-05-20 20:54:18,415 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\jinja2\optimizer.py first seen with mtime 1589656185.0908713
DEBUG 2020-05-20 20:54:18,416 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\pytz\__init__.py first seen with mtime 1587149401.9425673
DEBUG 2020-05-20 20:54:18,416 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1587149387.920038
DEBUG 2020-05-20 20:54:18,417 autoreload 1084 3960 File D:\Program Files\Python38\Lib\encodings\latin_1.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,417 autoreload 1084 3960 File D:\Program Files\Python38\Lib\contextlib.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,418 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1587149388.2576184
DEBUG 2020-05-20 20:54:18,418 autoreload 1084 3960 File D:\Program Files\Python38\Lib\uu.py first seen with mtime 1576700804.0
DEBUG 2020-05-20 20:54:18,418 autoreload 1084 3960 File D:\Program Files\Python38\Lib\asyncio\trsock.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,418 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1587149383.4651933
DEBUG 2020-05-20 20:54:18,418 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1587149391.4029634
DEBUG 2020-05-20 20:54:18,419 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\views\generic\base.py first seen with mtime 1587149388.2979145
DEBUG 2020-05-20 20:54:18,420 autoreload 1084 3960 File D:\Program Files\Python38\Lib\html\__init__.py first seen with mtime 1576700802.0
DEBUG 2020-05-20 20:54:18,420 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1587149388.2859428
DEBUG 2020-05-20 20:54:18,420 autoreload 1084 3960 File D:\Program Files\Python38\Lib\site-packages\django\db\backends\postgresql\features.py first seen with mtime 1587149387.8961034
